Age,Job,Marital,Education,Default,Balance,Housing,Loan,Contact,Day,Month,Duration,Campaign,pdays,Previous,Poutcome,Deposit
35,blue-collar,Divorced,Secondary,No,0,Yes,No,Unknown,20,may,1205,1,-1,0,unknown,Yes
29,services,Single,Secondary,No,271,Yes,No,Unknown,20,may,1882,2,-1,0,unknown,Yes
35,blue-collar,Married,Primary,No,102,Yes,No,Unknown,20,may,1334,1,-1,0,unknown,Yes
31,blue-collar,Married,Secondary,No,2,Yes,No,Unknown,20,may,182,2,-1,0,unknown,Yes
35,services,Married,Secondary,No,4170,Yes,No,Unknown,20,may,1777,1,-1,0,unknown,Yes
34,technician,Single,Secondary,No,85,Yes,No,Unknown,20,may,1182,4,-1,0,unknown,Yes
31,admin.,Single,Secondary,No,431,Yes,Yes,Unknown,20,may,1045,1,-1,0,unknown,Yes
44,technician,Divorced,Secondary,No,982,Yes,No,Unknown,20,may,650,3,-1,0,unknown,Yes
36,blue-collar,Married,Primary,No,408,Yes,Yes,Unknown,20,may,1063,2,-1,0,unknown,Yes
35,blue-collar,Married,Unknown,No,4822,Yes,No,Unknown,20,may,843,2,-1,0,unknown,Yes
41,blue-collar,Married,Primary,No,1250,Yes,No,Unknown,20,may,1392,2,-1,0,unknown,Yes
31,blue-collar,Single,Primary,No,216,Yes,No,Unknown,21,may,565,1,-1,0,unknown,Yes
34,blue-collar,Married,Secondary,No,1207,Yes,No,Unknown,21,may,905,1,-1,0,unknown,Yes
32,technician,Married,Secondary,No,791,Yes,No,Unknown,21,may,783,2,-1,0,unknown,Yes
36,management,Married,Tertiary,No,849,Yes,Yes,Unknown,21,may,958,2,-1,0,unknown,Yes
30,blue-collar,Single,Secondary,Yes,239,Yes,No,Unknown,21,may,412,1,-1,0,unknown,Yes
37,technician,Single,Secondary,No,1211,Yes,No,Unknown,21,may,795,1,-1,0,unknown,Yes
36,blue-collar,Married,Primary,No,599,Yes,No,Unknown,21,may,649,2,-1,0,unknown,Yes
31,management,Single,Tertiary,No,825,Yes,No,Unknown,21,may,506,2,-1,0,unknown,Yes
27,technician,Married,Secondary,No,2183,Yes,Yes,Unknown,21,may,857,1,-1,0,unknown,Yes
34,retired,Married,Primary,No,4499,No,No,Unknown,21,may,1681,1,-1,0,unknown,Yes
30,technician,Single,Tertiary,No,1289,Yes,No,Unknown,21,may,1697,2,-1,0,unknown,Yes
32,technician,Single,Tertiary,No,4665,Yes,No,Unknown,21,may,860,2,-1,0,unknown,Yes
37,technician,Single,Secondary,No,3326,Yes,No,Unknown,21,may,799,1,-1,0,unknown,Yes
32,blue-collar,Married,Secondary,No,783,Yes,No,Unknown,21,may,923,3,-1,0,unknown,Yes
33,blue-collar,Married,Secondary,No,0,Yes,No,Unknown,21,may,521,3,-1,0,unknown,Yes
35,blue-collar,Married,Primary,No,994,Yes,No,Unknown,23,may,1349,8,-1,0,unknown,Yes
35,self-employed,Divorced,Tertiary,No,1354,Yes,No,Unknown,23,may,736,2,-1,0,unknown,Yes
30,blue-collar,Single,Secondary,No,239,Yes,No,Unknown,23,may,785,1,-1,0,unknown,Yes
45,blue-collar,Divorced,Primary,No,-311,Yes,No,Unknown,23,may,1030,1,-1,0,unknown,Yes
45,admin.,Married,Secondary,No,149,Yes,No,Unknown,23,may,893,3,-1,0,unknown,Yes
33,blue-collar,Married,Secondary,No,1464,Yes,No,Unknown,23,may,588,3,-1,0,unknown,Yes
44,management,Divorced,Tertiary,No,5773,No,No,Unknown,23,may,597,6,-1,0,unknown,Yes
40,blue-collar,Married,Primary,No,278,Yes,No,Unknown,23,may,1015,3,-1,0,unknown,Yes
31,blue-collar,Married,Secondary,No,2910,Yes,No,Unknown,23,may,1392,2,-1,0,unknown,Yes
30,technician,Married,Tertiary,No,541,Yes,No,Unknown,26,may,414,2,-1,0,unknown,Yes
44,technician,Divorced,Secondary,No,1262,Yes,No,Unknown,26,may,788,11,-1,0,unknown,Yes
34,services,Married,Secondary,No,-538,Yes,No,Unknown,26,may,682,1,-1,0,unknown,Yes
37,blue-collar,Married,Secondary,No,125,No,No,Unknown,26,may,679,2,-1,0,unknown,Yes
28,self-employed,Single,Tertiary,No,0,Yes,No,Unknown,26,may,1560,2,-1,0,unknown,Yes
32,admin.,Single,Secondary,No,620,Yes,No,Unknown,26,may,1234,3,-1,0,unknown,Yes
37,blue-collar,Divorced,Secondary,No,316,Yes,No,Unknown,26,may,642,2,-1,0,unknown,Yes
34,management,Married,Tertiary,No,2287,Yes,No,Unknown,26,may,895,4,-1,0,unknown,Yes
38,admin.,Divorced,Secondary,No,198,Yes,No,Unknown,26,may,431,2,-1,0,unknown,Yes
28,admin.,Single,Secondary,No,460,Yes,No,Unknown,26,may,741,6,-1,0,unknown,Yes
31,management,Divorced,Tertiary,No,1145,Yes,No,Unknown,26,may,1272,4,-1,0,unknown,Yes
59,services,Married,Secondary,No,-22,Yes,No,Unknown,26,may,748,3,-1,0,unknown,Yes
24,blue-collar,Married,Secondary,No,685,Yes,No,Unknown,26,may,896,3,-1,0,unknown,Yes
26,services,Single,Secondary,No,901,Yes,No,Unknown,26,may,764,2,-1,0,unknown,Yes
59,retired,Single,Secondary,No,351,Yes,No,Unknown,27,may,1063,5,-1,0,unknown,Yes
30,entrepreneur,Single,Primary,No,0,Yes,Yes,Unknown,27,may,1051,1,-1,0,unknown,Yes
37,admin.,Married,Secondary,No,274,Yes,No,Unknown,27,may,731,3,-1,0,unknown,Yes
30,admin.,Single,Secondary,No,-213,Yes,Yes,Unknown,27,may,751,1,-1,0,unknown,Yes
25,blue-collar,Married,Secondary,No,97,Yes,No,Unknown,27,may,709,1,-1,0,unknown,Yes
44,services,Divorced,Secondary,No,51,Yes,Yes,Unknown,27,may,3094,2,-1,0,unknown,Yes
29,management,Married,Tertiary,No,314,No,No,Unknown,28,may,938,2,-1,0,unknown,Yes
26,management,Single,Tertiary,No,6840,Yes,No,Unknown,28,may,1560,2,-1,0,unknown,Yes
26,technician,Single,Secondary,No,668,Yes,No,Unknown,28,may,576,3,-1,0,unknown,Yes
27,services,Single,Secondary,No,54,Yes,No,Unknown,28,may,543,2,-1,0,unknown,Yes
25,self-employed,Single,Secondary,No,1242,Yes,No,Unknown,28,may,615,2,-1,0,unknown,Yes
28,management,Married,Secondary,No,292,Yes,No,Unknown,28,may,507,1,-1,0,unknown,Yes
23,services,Single,Secondary,No,665,Yes,No,Unknown,28,may,1183,1,-1,0,unknown,Yes
34,management,Single,Tertiary,No,1058,Yes,No,Unknown,28,may,864,2,-1,0,unknown,Yes
28,student,Single,Secondary,No,949,Yes,No,Unknown,28,may,1730,1,-1,0,unknown,Yes
51,entrepreneur,Married,Unknown,No,606,Yes,No,Unknown,28,may,560,9,-1,0,unknown,Yes
35,blue-collar,Married,Secondary,No,0,Yes,Yes,Unknown,29,may,543,1,-1,0,unknown,Yes
35,admin.,Married,Secondary,No,404,Yes,No,Unknown,29,may,539,1,-1,0,unknown,Yes
56,blue-collar,Married,Secondary,No,249,Yes,No,Unknown,29,may,791,2,-1,0,unknown,Yes
45,unemployed,Divorced,Secondary,No,3354,Yes,No,Unknown,29,may,746,1,-1,0,unknown,Yes
60,blue-collar,Divorced,Secondary,No,0,Yes,No,Unknown,29,may,1207,1,-1,0,unknown,Yes
56,technician,Married,Secondary,No,589,Yes,No,Unknown,29,may,535,2,-1,0,unknown,Yes
27,management,Single,Tertiary,No,12956,Yes,No,Unknown,29,may,789,3,-1,0,unknown,Yes
30,admin.,Married,Secondary,No,873,Yes,No,Unknown,29,may,792,3,-1,0,unknown,Yes
45,blue-collar,Divorced,Primary,No,594,Yes,No,Unknown,29,may,833,2,-1,0,unknown,Yes
29,blue-collar,Single,Secondary,No,-20,Yes,No,Unknown,29,may,814,2,-1,0,unknown,Yes
38,management,Divorced,Tertiary,No,4692,Yes,No,Unknown,29,may,1363,2,-1,0,unknown,Yes
30,blue-collar,Married,Secondary,No,486,Yes,No,Unknown,29,may,1109,3,-1,0,unknown,Yes
44,blue-collar,Single,Primary,No,1593,Yes,No,Unknown,29,may,828,3,-1,0,unknown,Yes
36,management,Single,Tertiary,No,7606,Yes,No,Unknown,30,may,917,1,-1,0,unknown,Yes
38,technician,Married,Secondary,No,226,Yes,No,Unknown,30,may,762,3,-1,0,unknown,Yes
36,blue-collar,Single,Secondary,No,366,Yes,Yes,Unknown,30,may,1133,2,-1,0,unknown,Yes
37,management,Divorced,Secondary,No,16,Yes,No,Unknown,30,may,638,1,-1,0,unknown,Yes
35,management,Single,Tertiary,No,565,Yes,No,Unknown,30,may,763,1,-1,0,unknown,Yes
38,admin.,Divorced,Secondary,No,19,Yes,No,Unknown,30,may,604,2,-1,0,unknown,Yes
40,services,Married,Primary,No,1082,Yes,No,Unknown,30,may,854,2,-1,0,unknown,Yes
42,unemployed,Divorced,Secondary,No,1713,Yes,No,Unknown,30,may,855,2,-1,0,unknown,Yes
46,management,Divorced,Tertiary,No,14481,Yes,No,Unknown,30,may,1269,1,-1,0,unknown,Yes
35,technician,Divorced,Secondary,No,5724,Yes,No,Unknown,30,may,691,10,-1,0,unknown,Yes
34,technician,Divorced,Secondary,No,1451,Yes,No,Unknown,30,may,1097,15,-1,0,unknown,Yes
32,services,Married,Secondary,No,-34,Yes,No,Unknown,30,may,1236,2,-1,0,unknown,Yes
50,unemployed,Married,Secondary,No,3674,Yes,No,Unknown,30,may,886,3,-1,0,unknown,Yes
35,blue-collar,Married,Secondary,No,698,Yes,Yes,Unknown,30,may,1343,3,-1,0,unknown,Yes
36,technician,Single,Secondary,No,4136,Yes,No,Unknown,30,may,812,3,-1,0,unknown,Yes
53,blue-collar,Divorced,Primary,No,2656,Yes,No,Unknown,30,may,1980,2,-1,0,unknown,Yes
46,management,Single,Tertiary,No,2904,Yes,No,Unknown,30,may,984,2,-1,0,unknown,Yes
26,management,Single,Tertiary,No,1004,Yes,No,Unknown,30,may,228,2,-1,0,unknown,Yes
45,technician,Single,Secondary,No,410,Yes,No,Unknown,30,may,891,4,-1,0,unknown,Yes
31,unemployed,Divorced,Primary,No,0,Yes,No,Unknown,30,may,745,12,-1,0,unknown,Yes
29,management,Single,Tertiary,No,0,Yes,No,Unknown,30,may,539,12,-1,0,unknown,Yes
53,entrepreneur,Single,Secondary,No,62,Yes,No,Unknown,30,may,1044,5,-1,0,unknown,Yes
27,blue-collar,Married,Primary,No,416,Yes,No,Unknown,30,may,1193,2,-1,0,unknown,Yes
39,management,Married,Tertiary,No,2763,Yes,No,Unknown,2,jun,526,2,-1,0,unknown,Yes
36,services,Married,Secondary,No,2984,Yes,No,Unknown,2,jun,394,1,-1,0,unknown,Yes
41,blue-collar,Married,Primary,No,143,Yes,Yes,Unknown,2,jun,659,2,-1,0,unknown,Yes
36,services,Married,Primary,No,0,Yes,No,Unknown,2,jun,1036,1,-1,0,unknown,Yes
32,technician,Married,Secondary,No,696,Yes,No,Unknown,2,jun,815,1,-1,0,unknown,Yes
35,services,Married,Secondary,No,152,Yes,No,Unknown,2,jun,563,1,-1,0,unknown,Yes
36,management,Single,Tertiary,No,-78,Yes,No,Unknown,2,jun,1068,1,-1,0,unknown,Yes
35,management,Married,Tertiary,No,867,Yes,No,Unknown,2,jun,230,3,-1,0,unknown,Yes
30,blue-collar,Single,Secondary,No,953,Yes,No,Unknown,2,jun,747,2,-1,0,unknown,Yes
42,blue-collar,Married,Secondary,No,443,Yes,No,Unknown,2,jun,671,5,-1,0,unknown,Yes
42,technician,Single,Secondary,Yes,-1129,Yes,No,Unknown,2,jun,555,5,-1,0,unknown,Yes
32,blue-collar,Married,Primary,No,415,Yes,No,Unknown,2,jun,777,4,-1,0,unknown,Yes
29,blue-collar,Single,Secondary,No,260,Yes,No,Unknown,2,jun,707,14,-1,0,unknown,Yes
44,management,Divorced,Tertiary,Yes,-411,Yes,No,Unknown,2,jun,432,4,-1,0,unknown,Yes
32,technician,Single,Secondary,No,1279,Yes,No,Unknown,3,jun,1173,3,-1,0,unknown,Yes
31,unemployed,Married,Secondary,No,86,Yes,Yes,Unknown,3,jun,963,2,-1,0,unknown,Yes
40,self-employed,Married,Secondary,Yes,-754,Yes,Yes,Unknown,3,jun,941,3,-1,0,unknown,Yes
43,entrepreneur,Married,Secondary,No,0,No,No,Unknown,3,jun,1025,7,-1,0,unknown,Yes
27,management,Single,Secondary,No,178,Yes,No,Unknown,3,jun,732,2,-1,0,unknown,Yes
37,services,Single,Secondary,No,278,Yes,No,Unknown,3,jun,1045,3,-1,0,unknown,Yes
23,services,Single,Secondary,No,425,Yes,No,Unknown,3,jun,768,1,-1,0,unknown,Yes
25,management,Married,Primary,No,168,Yes,No,Unknown,3,jun,801,1,-1,0,unknown,Yes
26,blue-collar,Single,Secondary,Yes,-36,Yes,No,Unknown,3,jun,482,2,-1,0,unknown,Yes
47,blue-collar,Divorced,Primary,No,126,Yes,No,Unknown,3,jun,2456,2,-1,0,unknown,Yes
35,admin.,Married,Secondary,No,-87,Yes,No,Unknown,3,jun,1363,7,-1,0,unknown,Yes
32,technician,Single,Tertiary,No,6281,Yes,No,Unknown,3,jun,1336,4,-1,0,unknown,Yes
45,management,Divorced,Secondary,No,644,Yes,No,Unknown,4,jun,633,1,-1,0,unknown,Yes
30,admin.,Divorced,Secondary,No,377,Yes,No,Unknown,4,jun,524,15,-1,0,unknown,Yes
29,services,Single,Secondary,No,-271,Yes,No,Unknown,4,jun,578,1,-1,0,unknown,Yes
38,blue-collar,Married,Primary,No,5839,Yes,No,Unknown,4,jun,984,2,-1,0,unknown,Yes
23,blue-collar,Single,Secondary,No,492,Yes,No,Unknown,4,jun,638,1,-1,0,unknown,Yes
27,management,Single,Tertiary,No,99,Yes,No,Unknown,4,jun,767,2,-1,0,unknown,Yes
27,management,Single,Tertiary,Yes,-713,Yes,No,Unknown,4,jun,525,2,-1,0,unknown,Yes
29,services,Single,Secondary,No,32,Yes,No,Unknown,4,jun,563,1,-1,0,unknown,Yes
30,self-employed,Married,Tertiary,No,543,Yes,Yes,Unknown,4,jun,1449,6,-1,0,unknown,Yes
36,blue-collar,Married,Primary,No,403,Yes,No,Unknown,4,jun,920,1,-1,0,unknown,Yes
35,admin.,Divorced,Secondary,No,437,Yes,No,Unknown,4,jun,908,1,-1,0,unknown,Yes
36,blue-collar,Married,Secondary,No,1772,No,No,Unknown,5,jun,208,1,-1,0,unknown,Yes
59,retired,Divorced,Primary,No,-88,Yes,No,Unknown,5,jun,910,2,-1,0,unknown,Yes
47,entrepreneur,Married,Secondary,No,0,No,No,Unknown,5,jun,1446,1,-1,0,unknown,Yes
58,entrepreneur,Married,Tertiary,No,853,No,No,Unknown,5,jun,1149,2,-1,0,unknown,Yes
37,management,Single,Tertiary,No,240,No,No,Unknown,5,jun,1123,1,-1,0,unknown,Yes
46,admin.,Single,Secondary,No,849,Yes,No,Unknown,5,jun,508,2,-1,0,unknown,Yes
43,blue-collar,Single,Secondary,No,318,Yes,No,Unknown,5,jun,736,2,-1,0,unknown,Yes
27,management,Single,Tertiary,No,703,Yes,No,Unknown,5,jun,590,3,-1,0,unknown,Yes
38,services,Divorced,Secondary,No,61,No,No,Unknown,5,jun,636,1,-1,0,unknown,Yes
53,housemaid,Married,Primary,No,104,No,Yes,Unknown,5,jun,701,1,-1,0,unknown,Yes
47,blue-collar,Married,Secondary,No,1996,No,No,Unknown,5,jun,761,2,-1,0,unknown,Yes
56,housemaid,Divorced,Primary,Yes,1238,No,No,Unknown,5,jun,1558,1,-1,0,unknown,Yes
41,housemaid,Married,Secondary,No,879,No,No,Unknown,5,jun,1053,2,-1,0,unknown,Yes
29,self-employed,Married,Secondary,No,425,Yes,No,Unknown,5,jun,562,15,-1,0,unknown,Yes
50,technician,Married,Secondary,No,416,Yes,No,Unknown,5,jun,494,5,-1,0,unknown,Yes
45,blue-collar,Divorced,Primary,No,844,No,No,Unknown,5,jun,1018,3,-1,0,unknown,Yes
35,blue-collar,Married,Secondary,No,860,Yes,No,Unknown,5,jun,884,4,-1,0,unknown,Yes
26,technician,Single,Secondary,No,639,Yes,No,Unknown,6,jun,709,5,-1,0,unknown,Yes
26,admin.,Married,Secondary,No,710,Yes,Yes,Unknown,6,jun,1276,2,-1,0,unknown,Yes
37,blue-collar,Married,Unknown,No,1508,No,Yes,Unknown,6,jun,381,2,-1,0,unknown,Yes
30,admin.,Single,Secondary,No,223,Yes,No,Unknown,6,jun,862,11,-1,0,unknown,Yes
38,management,Single,Tertiary,No,619,Yes,No,Unknown,6,jun,460,4,-1,0,unknown,Yes
37,services,Divorced,Secondary,No,319,Yes,No,Unknown,6,jun,467,3,-1,0,unknown,Yes
53,technician,Married,Secondary,No,480,No,No,Unknown,6,jun,648,2,-1,0,unknown,Yes
29,blue-collar,Single,Primary,No,213,Yes,No,Unknown,6,jun,2653,3,-1,0,unknown,Yes
35,management,Single,Tertiary,No,68,No,No,Unknown,6,jun,1085,1,-1,0,unknown,Yes
28,blue-collar,Married,Secondary,No,2788,Yes,No,Unknown,6,jun,369,2,-1,0,unknown,Yes
55,blue-collar,Married,Unknown,No,7561,No,No,Unknown,6,jun,685,3,-1,0,unknown,Yes
49,management,Divorced,Secondary,No,-46,Yes,No,Unknown,9,jun,1055,10,-1,0,unknown,Yes
50,services,Married,Secondary,No,1595,No,No,Unknown,9,jun,882,1,-1,0,unknown,Yes
43,management,Single,Tertiary,No,1046,No,No,Unknown,9,jun,901,1,-1,0,unknown,Yes
58,self-employed,Divorced,Tertiary,No,1382,No,No,Unknown,9,jun,700,1,-1,0,unknown,Yes
